,House Number,Rawalpindi Houses,Name,Price,Type,Main Features,Rooms,Details
0,House 48022756,Rawalpindi Houses,Classical Corner House With Huge Lawn Near Future World School,"Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","CLASSICAL ELEVATION DESIGN LUXURIOUS FINISHING HUGE EXTRA LAND FOR LAWN NEAR TOO ZOO AND FUTURE WORLD SCHOOL AT A VERY PEACEFUL LOCATION Newly Constructed At A Very Peaceful LocationSolid Construction And Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish KitchensThis House Features 5 Spacious Bedrooms6 Bathrooms1 Drawing Rooms1 Dining Room2 Stylish Kitchens2 Living Rooms1 Servant Room With Attached BathParking Space For 3-4 CarsOnyx Homes Realtors & BuildersAlso Providing Construction & Interior ServicesFor More Options And Visit Please Contact Us",Built in year: 2023 | Parking Spaces | Flooring | Electricity Backup | Waste Disposal | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR7.5 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 3 hours ago"
1,House 51560745,Rawalpindi Houses,Designer House Near To Park & Bahria Expressway,"Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","Luxurious House With Elegant Interior Close To Grand Park Easy Access To Bahria ExpresswayNewly constructed at a very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensThis house features 5 Bedrooms6 Bathrooms1 Drawing room2 Kitchens2 Living rooms1 Store room1 Servant room with attached bathParking space for 3 cars. For more options and visit please contact us. Bahria Town your lifestyle destinationONYX HOMES REALTORS & BUILDERSALSO PROVIDING CONSTRUCTION & INTERIOR SERVICES",Built in year: 2024 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Prayer Room, Powder Room, Gym, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR3.75 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 10.9 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 3 hours ago"
2,House 51815448,Rawalpindi Houses,Slightly Used 10 Marla At Reasonable Price,"Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab","It's A Few Years Old House Occupied For Very Less Time House Need A Bit of Paint And Polish WorkOther Then That it's in good condition Not needing any major renovation Intact Condition and reasonable price constructed at a very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensNear to Masjid, Park and CommercialThis house features 5 Spacious bedrooms6 Luxury bathrooms1 Drawing room2 Stylish kitchens2 Living rooms1 Servant room with attached bathEntrance lobby with stairsParking space for 2-3 cars. ONYX HOMES REALTORS & BUILDERSALSO PROVIDING CONSTRUCTION & INTERIOR SERVICESFor more options and visit please contact us. Bahria Town your lifestyle destination",Parking Spaces | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR4.25 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 3 hours ago"
3,House 52061409,Rawalpindi Houses,NEW 5 MARLA HOUSE IN BAHRIA TOWN,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","House Features Are,5 Marla 2 Portions  3 Spacious Bedrooms with Washrooms 2 Tv-Lounge 1 Drawing Room1 Kitchen1 Store Room 1 Servant Room With Attached Bath 1 Car Parking Space With LawnPark, Mosque, Commercial, Hospital and School At Nearest Point. Deal With Us And Get More Benefits In The Form Of Transparency Of Deal And Also Everything Of The Deal On The Record For Your Assurance. We Offering One Of The Best Deals With Gorgeous and Luxury Designer Properties in Bahria Town and Dha Islamabad. The Ultimate In Style And Elegance With Spectacular Architecture.  for Visit Or More Options Please Contact Us",Built in year: 2024 | Parking Spaces: 1 | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features,"Bedrooms: 3, Bathrooms: 3, Servant Quarters, Drawing Room, Kitchens: 1, Powder Room, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.5 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 3, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 13 hours ago"
4,House 52010487,Rawalpindi Houses,Triple Story Corner Plus Lawn 14 Marla Used House For Sale Bahria Overseas Sector 2 Rawalpindi,"Bahria Greens - Overseas Enclave - Sector 2, Bahria Greens - Overseas Enclave, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","14 Marla Corner Plus Basement Triple Story Used House For Sale Bahria Town Phase 8 Overseas Sector 2 Rawalpindi 10 Marla Construction Area And 4 Marla Beautiful Lawn Available On Category B Total Area 14 Marla House Located On 50 Feet Wide Dead End Street Accommodation Total 6 Bedrooms With Attached Bathrooms Stylish Open Kitchen With Dirty Kitchen And Laundry Area Beautiful 3 TV Lounge With Dining Space Drawing Room And Powder Room Store Room And Terrace Parking Space For 3 Sedans Cars Roof Top Servant Quarter And Bathroom Back Spiral Stairs Installed Geyser Installed Gas And Electricity Meter InstalledWater 24 Hours Demand 4 Crores 75 Lacs Price Negotiable Muhammad Rameez Contact Us For More DetailsFOURWALLS REAL ESTATE Buiding 34, Main Commercial River View Phase 7 Bahria Town Rawalpindi",Built in year: 2019 | Parking Spaces: 3 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 3 | Furnished,"Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR4.75 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 7, Area: 14 Marla, Purpose: For Sale, Bedroom(s): 6, Added: 16 hours ago"
5,Flat 42644685,,Askari 14 2 Bed Flat For Sale,"Askari 14, Rawalpindi, Punjab","2x bed flat for sale in askari 14 . dd , tv lounge , servant and store . price 2.25 crore The Flat is constructed with modern furnishings so you can enjoy living in comfort and style. A favorably located property doesn't pop up often, so hurry up before it's too late. This 2250 Square Feet sized property will prove to be the perfect space for you to invest some (or all) of your future in. A property with modern features at a price of PKR Rs. 22,500,000 is not to be missed. A Flat in Askari 14 is the best opportunity you can find, so don't let it slip. With real estate on the boom, investing in Askari 14 is no less than an opportunity. For booking details, call us on the given numbers.",Built in year: 2013 | Parking Spaces: 2 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor: 3 | Floors in Building: 3 | Service Elevators in Building | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: Flat, Price: PKR2.25 Crore, Location: Askari 14, Rawalpindi, Punjab, Bath(s): 2, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 1 hour ago"
6,Flat 52099738,,Brand New Plaza Apartment Is Available For Sale In Islamabad,"Bahria Town - Civic Centre, Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab",Brand New Apartment Is Available For Sale In heart of bahria town Solid Constructed Plaza In 2024 By Professional EngineersAccomodations:2 bed room attached bathTV Lounge Sitting Area kitchen Area 4th Floor 968 square feets. Front view apartment Stairs Emergency Exit Stairs24/7 Security Card Entry Exit PointMonthly Incoming Rent 55000/-PKRWith Yearly Increase Near to Parks Commercial Food Courts Arena Cinema Paradise Commercial Zoo Hospitals school And MasjidEasy Access to Islamabad highway and main GT Road Peaceful and green environment Price Is Slightly direct meeting with owner We Deal In All Kinds Of Properties Related To Sale Purchase And Rental In Bahria Town DHA And All CDA Sectors Islamabad Mohammad Shahbaz KhanFazalerabbi Real Estate Plaza 112 Fazalerabbi Complex Phase 4 Bahria Town Islamabad,Built in year: 2024 | Parking Spaces: 3 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor: 4 | Floors in Building: 6 | Elevators: 1 | Other Main Features,"Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 01, Steam Room, Lounge or Sitting Room, Laundry Room","Type: Flat, Price: PKR1.15 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 2, Area: 4.3 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 5 hours ago"
7,House 51956291,Rawalpindi Houses,very beautiful house,"Defence Road, Rawalpindi, Punjab",near to defence road1 nera to mosque2 near to shops3 near to school4 near to askari 14 gate 25 near to Khawaja corporation Chowk,Built in year: 2 | Parking Spaces: 1 | Floors: 2 | Other Main Features,"Bedrooms: 4, Bathrooms: 5","Type: House, Price: PKR1.75 Crore, Location: Defence Road, Rawalpindi, Punjab, Bath(s): 5, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 4, Added: 11 hours ago"
8,House 52094137,Rawalpindi Houses,Highly-Desirable Prime Location 5 Marla House Available In Snober City,"Snober City, Adiala Road, Rawalpindi, Punjab",5 Marla Brand New Double Storey House For Sale In Snober City on Main Adiala Road Rawalpindi2 drawing dining2 TV lounge2 kitchen4 bedroom4 washroomCar porchAll facilities are available At prime location Near commercial Near Masjid Near school Near Hospital Near park Feel free to contact us at Apna Ghar Pk Real Estate And Builders,Built in year: 2025 | Parking Spaces: 1,"Bedrooms: 4, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 2, Lounge or Sitting Room","Type: House, Price: PKR1.55 Crore, Location: Adiala Road, Rawalpindi, Punjab, Bath(s): 4, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 4, Added: 11 hours ago"
9,House 52094145,Rawalpindi Houses,Good Location 5 Marla House Is Available In Affordable Price In Adiala Road,"Adiala Road, Rawalpindi, Punjab",5 Marla Brand New 1.5 Storey House For Sale In Snober City on main Adiala Road Rawalpindi3 Bedroom4 washroomDrawing diningTv LoungeKitchenCar porch All facilities are availableAt prime locationNear commercialNear MasjidNear schoolNear HospitalFeel free to contact us at Apna Ghar Pk Real Estate And Builders,Built in year: 2025,"Bedrooms: 3, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 1, Lounge or Sitting Room","Type: House, Price: PKR1.35 Crore, Location: Adiala Road, Rawalpindi, Punjab, Bath(s): 4, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 11 hours ago"
