House Number,City,House Type,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society
48022756,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,7.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,13774.1,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
51560745,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,3.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2968.0,12634.77,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi
51815448,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,0.0,4.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,15613.52,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi
52061409,Rawalpindi,Rawalpindi Houses,1.0,3.0,3.0,0.0,1.0,0.0,1.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,11021.31,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi
52010487,Rawalpindi,Rawalpindi Houses,3.0,6.0,6.0,1.0,2.0,1.0,4.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,3812.0,12460.65,Bahria Greens ,Punjab,Bahria Town Rawalpindi
42644685,,,2.0,3.0,3.0,1.0,1.0,1.0,2.25, For Sale,"Askari 14, Rawalpindi, Punjab, ",Moderately Old,2722.0,8265.98,Askari 14,Punjab,Askari 14
52099738,,,3.0,2.0,2.0,0.0,1.0,1.0,1.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1171.0,9820.67,Bahria Town ,Punjab,Bahria Town Rawalpindi
51956291,Rawalpindi,Rawalpindi Houses,1.0,4.0,5.0,0.0,0.0,0.0,1.75, For Sale,"Defence Road, Rawalpindi, Punjab, ",Undefined,1361.0,12858.19,Defence Road,Punjab,Defence Road
52094137,Rawalpindi,Rawalpindi Houses,1.0,4.0,4.0,0.0,2.0,0.0,1.55, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction,1361.0,11388.68,Snober City,Punjab,Adiala Road
52094145,Rawalpindi,Rawalpindi Houses,,3.0,4.0,0.0,1.0,0.0,1.35, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction,1361.0,9919.18,Adiala Road,Punjab,Adiala Road
50620388,Rawalpindi,Rawalpindi Houses,,,,,,,6.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,3539.0,19497.03,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi
51279481,Rawalpindi,Rawalpindi Houses,,6.0,6.0,0.0,2.0,1.0,3.3, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,12123.44,Gulshan Abad,Punjab,Gulshan Abad
51512912,Rawalpindi,Rawalpindi Houses,,5.0,6.0,1.0,2.0,1.0,5.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,20205.73,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi
51263545,Rawalpindi,Rawalpindi Houses,3.0,5.0,7.0,1.0,2.0,2.0,16.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,9256.0,17556.18,Bahria Greens ,Punjab,Bahria Town Rawalpindi
