,House Number,City,Name,sub_name,description,House Type,Year,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Area,Purpose,Location,Age Possession
0,48022756,Rawalpindi,Classical Corner House With Huge Lawn Near Future World School,"Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","CLASSICAL ELEVATION DESIGN LUXURIOUS FINISHING HUGE EXTRA LAND FOR LAWN NEAR TOO ZOO AND FUTURE WORLD SCHOOL AT A VERY PEACEFUL LOCATION Newly Constructed At A Very Peaceful LocationSolid Construction And Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish KitchensThis House Features 5 Spacious Bedrooms6 Bathrooms1 Drawing Rooms1 Dining Room2 Stylish Kitchens2 Living Rooms1 Servant Room With Attached BathParking Space For 3-4 CarsOnyx Homes Realtors & BuildersAlso Providing Construction & Interior ServicesFor More Options And Visit Please Contact Us",Rawalpindi Houses,2023.0,,5.0,6.0,1.0,2.0,0.0,7.5, 1 Kanal, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New
1,51560745,Rawalpindi,Designer House Near To Park & Bahria Expressway,"Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","Luxurious House With Elegant Interior Close To Grand Park Easy Access To Bahria ExpresswayNewly constructed at a very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensThis house features 5 Bedrooms6 Bathrooms1 Drawing room2 Kitchens2 Living rooms1 Store room1 Servant room with attached bathParking space for 3 cars. For more options and visit please contact us. Bahria Town your lifestyle destinationONYX HOMES REALTORS & BUILDERSALSO PROVIDING CONSTRUCTION & INTERIOR SERVICES",Rawalpindi Houses,2024.0,,5.0,6.0,1.0,2.0,0.0,3.75, 10.9 Marla, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New
2,51815448,Rawalpindi,Slightly Used 10 Marla At Reasonable Price,"Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab","It's A Few Years Old House Occupied For Very Less Time House Need A Bit of Paint And Polish WorkOther Then That it's in good condition Not needing any major renovation Intact Condition and reasonable price constructed at a very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensNear to Masjid, Park and CommercialThis house features 5 Spacious bedrooms6 Luxury bathrooms1 Drawing room2 Stylish kitchens2 Living rooms1 Servant room with attached bathEntrance lobby with stairsParking space for 2-3 cars. ONYX HOMES REALTORS & BUILDERSALSO PROVIDING CONSTRUCTION & INTERIOR SERVICESFor more options and visit please contact us. Bahria Town your lifestyle destination",Rawalpindi Houses,,,5.0,6.0,1.0,2.0,0.0,4.25, 10 Marla, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined
3,52061409,Rawalpindi,NEW 5 MARLA HOUSE IN BAHRIA TOWN,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","House Features Are,5 Marla 2 Portions  3 Spacious Bedrooms with Washrooms 2 Tv-Lounge 1 Drawing Room1 Kitchen1 Store Room 1 Servant Room With Attached Bath 1 Car Parking Space With LawnPark, Mosque, Commercial, Hospital and School At Nearest Point. Deal With Us And Get More Benefits In The Form Of Transparency Of Deal And Also Everything Of The Deal On The Record For Your Assurance. We Offering One Of The Best Deals With Gorgeous and Luxury Designer Properties in Bahria Town and Dha Islamabad. The Ultimate In Style And Elegance With Spectacular Architecture.  for Visit Or More Options Please Contact Us",Rawalpindi Houses,2024.0, 1 ,3.0,3.0,0.0,1.0,0.0,1.5, 5 Marla, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New
4,52010487,Rawalpindi,Triple Story Corner Plus Lawn 14 Marla Used House For Sale Bahria Overseas Sector 2 Rawalpindi,"Bahria Greens - Overseas Enclave - Sector 2, Bahria Greens - Overseas Enclave, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","14 Marla Corner Plus Basement Triple Story Used House For Sale Bahria Town Phase 8 Overseas Sector 2 Rawalpindi 10 Marla Construction Area And 4 Marla Beautiful Lawn Available On Category B Total Area 14 Marla House Located On 50 Feet Wide Dead End Street Accommodation Total 6 Bedrooms With Attached Bathrooms Stylish Open Kitchen With Dirty Kitchen And Laundry Area Beautiful 3 TV Lounge With Dining Space Drawing Room And Powder Room Store Room And Terrace Parking Space For 3 Sedans Cars Roof Top Servant Quarter And Bathroom Back Spiral Stairs Installed Geyser Installed Gas And Electricity Meter InstalledWater 24 Hours Demand 4 Crores 75 Lacs Price Negotiable Muhammad Rameez Contact Us For More DetailsFOURWALLS REAL ESTATE Buiding 34, Main Commercial River View Phase 7 Bahria Town Rawalpindi",Rawalpindi Houses,2019.0, 3 ,6.0,6.0,1.0,2.0,1.0,4.75, 14 Marla, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property
5,42644685,,Askari 14 2 Bed Flat For Sale,"Askari 14, Rawalpindi, Punjab","2x bed flat for sale in askari 14 . dd , tv lounge , servant and store . price 2.25 crore The Flat is constructed with modern furnishings so you can enjoy living in comfort and style. A favorably located property doesn't pop up often, so hurry up before it's too late. This 2250 Square Feet sized property will prove to be the perfect space for you to invest some (or all) of your future in. A property with modern features at a price of PKR Rs. 22,500,000 is not to be missed. A Flat in Askari 14 is the best opportunity you can find, so don't let it slip. With real estate on the boom, investing in Askari 14 is no less than an opportunity. For booking details, call us on the given numbers.",,2013.0, 2 ,3.0,3.0,1.0,1.0,1.0,2.25, 10 Marla, For Sale,"Askari 14, Rawalpindi, Punjab, ",Moderately Old
6,52099738,,Brand New Plaza Apartment Is Available For Sale In Islamabad,"Bahria Town - Civic Centre, Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab",Brand New Apartment Is Available For Sale In heart of bahria town Solid Constructed Plaza In 2024 By Professional EngineersAccomodations:2 bed room attached bathTV Lounge Sitting Area kitchen Area 4th Floor 968 square feets. Front view apartment Stairs Emergency Exit Stairs24/7 Security Card Entry Exit PointMonthly Incoming Rent 55000/-PKRWith Yearly Increase Near to Parks Commercial Food Courts Arena Cinema Paradise Commercial Zoo Hospitals school And MasjidEasy Access to Islamabad highway and main GT Road Peaceful and green environment Price Is Slightly direct meeting with owner We Deal In All Kinds Of Properties Related To Sale Purchase And Rental In Bahria Town DHA And All CDA Sectors Islamabad Mohammad Shahbaz KhanFazalerabbi Real Estate Plaza 112 Fazalerabbi Complex Phase 4 Bahria Town Islamabad,,2024.0, 3 ,2.0,2.0,0.0,1.0,1.0,1.15, 4.3 Marla, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New
7,51956291,Rawalpindi,very beautiful house,"Defence Road, Rawalpindi, Punjab",near to defence road1 nera to mosque2 near to shops3 near to school4 near to askari 14 gate 25 near to Khawaja corporation Chowk,Rawalpindi Houses,, 1 ,4.0,5.0,0.0,0.0,0.0,1.75, 5 Marla, For Sale,"Defence Road, Rawalpindi, Punjab, ",Undefined
8,52094137,Rawalpindi,Highly-Desirable Prime Location 5 Marla House Available In Snober City,"Snober City, Adiala Road, Rawalpindi, Punjab",5 Marla Brand New Double Storey House For Sale In Snober City on Main Adiala Road Rawalpindi2 drawing dining2 TV lounge2 kitchen4 bedroom4 washroomCar porchAll facilities are available At prime location Near commercial Near Masjid Near school Near Hospital Near park Feel free to contact us at Apna Ghar Pk Real Estate And Builders,Rawalpindi Houses,2025.0, 1,4.0,4.0,0.0,2.0,0.0,1.55, 5 Marla, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction
9,52094145,Rawalpindi,Good Location 5 Marla House Is Available In Affordable Price In Adiala Road,"Adiala Road, Rawalpindi, Punjab",5 Marla Brand New 1.5 Storey House For Sale In Snober City on main Adiala Road Rawalpindi3 Bedroom4 washroomDrawing diningTv LoungeKitchenCar porch All facilities are availableAt prime locationNear commercialNear MasjidNear schoolNear HospitalFeel free to contact us at Apna Ghar Pk Real Estate And Builders,Rawalpindi Houses,2025.0,,3.0,4.0,0.0,1.0,0.0,1.35, 5 Marla, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction
