Unnamed: 0,House Number,City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society,property Type,area_room_ratio
3,52061409,Rawalpindi,1.0,3.0,3.0,0.0,1.0,0.0,1.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,11021.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,453.6666666666667
4,52010487,Rawalpindi,3.0,6.0,6.0,1.0,2.0,1.0,4.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,3812.0,12461.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,635.3333333333334
5,42644685,Rawalpindi,2.0,3.0,3.0,1.0,1.0,1.0,2.25, For Sale,"Askari 14, Rawalpindi, Punjab, ",Moderately Old,2722.0,8266.0,Askari 14,Punjab,Askari 14,Houses,907.3333333333334
6,52099738,Rawalpindi,3.0,2.0,2.0,0.0,1.0,1.0,1.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1171.0,9821.0,Bahria Town ,Punjab,Bahria Town Rawalpindi,Flats,585.5
7,51956291,Rawalpindi,1.0,4.0,5.0,0.0,0.0,0.0,1.75, For Sale,"Defence Road, Rawalpindi, Punjab, ",Undefined,1361.0,12858.0,Defence Road,Punjab,Defence Road,Houses,340.25
8,52094137,Rawalpindi,1.0,4.0,4.0,0.0,2.0,0.0,1.55, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction,1361.0,11389.0,Snober City,Punjab,Adiala Road,Houses,340.25
13,51263545,Rawalpindi,3.0,5.0,7.0,1.0,2.0,2.0,16.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,9256.0,17556.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,1851.2
15,48256782,Rawalpindi,1.0,2.0,3.0,1.0,1.0,1.0,1.2, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1361.0,8817.0,Airport Housing Society,Punjab,Airport Housing Society,Houses,680.5
16,49887112,Rawalpindi,4.0,7.0,6.0,1.0,2.0,1.0,2.5, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,2178.0,11478.0,Airport Housing Society,Punjab,Airport Housing Society,Houses,311.14285714285717
17,47304990,Rawalpindi,3.0,7.0,8.0,2.0,1.0,2.0,0.76, For Sale,"Samarzar Housing Society, Rawalpindi, Punjab, ",New Property,1089.0,6979.0,Samarzar Housing Society,Punjab,Samarzar Housing Society,Houses,155.57142857142858
27,52091401,Rawalpindi,4.0,7.0,8.0,1.0,3.0,1.0,14.4, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,5445.0,26446.0,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi,Houses,777.8571428571429
30,52094125,Rawalpindi,1.0,2.0,3.0,0.0,1.0,0.0,1.03, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction,1361.0,7568.0,Snober City,Punjab,Adiala Road,Houses,680.5
31,45256816,Rawalpindi,1.0,3.0,3.0,1.0,1.0,0.0,3.15, For Sale,"Askari 14, Rawalpindi, Punjab, ",New Property,2722.0,11572.0,Askari 14,Punjab,Askari 14,Houses,907.3333333333334
32,52021422,Rawalpindi,3.0,5.0,7.0,1.0,2.0,1.0,4.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,15614.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,544.4
34,50284140,Rawalpindi,2.0,2.0,2.0,0.0,1.0,0.0,2.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1361.0,16532.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,680.5
37,50209078,Rawalpindi,1.0,4.0,4.0,1.0,2.0,1.0,2.1, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1634.0,12852.0,Airport Housing Society,Punjab,Airport Housing Society,Houses,408.5
38,51302721,Rawalpindi,3.0,5.0,6.0,1.0,2.0,1.0,2.5, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,2178.0,11478.0,Airport Housing Society,Punjab,Airport Housing Society,Houses,435.6
39,51301674,Rawalpindi,1.0,4.0,6.0,1.0,2.0,1.0,1.7, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1361.0,12491.0,Airport Housing Society,Punjab,Airport Housing Society,Houses,340.25
40,51302811,Rawalpindi,2.0,6.0,6.0,1.0,2.0,1.0,3.85, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,2178.0,17677.0,Airport Housing Society,Punjab,Airport Housing Society,Houses,363.0
41,51508937,Rawalpindi,3.0,8.0,8.0,1.0,3.0,1.0,9.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,16529.0,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi,Houses,680.625
52,52082021,Rawalpindi,3.0,6.0,6.0,1.0,2.0,1.0,3.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,13777.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses,453.6666666666667
56,51634543,Rawalpindi,2.0,3.0,3.0,1.0,1.0,1.0,1.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,12491.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,453.6666666666667
58,52001444,Rawalpindi,2.0,3.0,4.0,1.0,2.0,1.0,2.1, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,1361.0,15430.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,453.6666666666667
60,51295940,Rawalpindi,2.0,6.0,6.0,0.0,2.0,1.0,2.75, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,10103.0,Gulshan Abad Sector 1,Punjab,Gulshan Abad,Houses,453.6666666666667
61,51704923,Rawalpindi,1.0,4.0,4.0,1.0,2.0,1.0,0.75, For Sale,"Islamabad Highway, Rawalpindi, Punjab, ",Undefined,544.0,13787.0,Wakeel Colony,Punjab,Islamabad Highway,Houses,136.0
63,52103294,Rawalpindi,3.0,3.0,3.0,2.0,2.0,1.0,0.95, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1089.0,8724.0,Snober City,Punjab,Adiala Road,Houses,363.0
72,52103070,Rawalpindi,3.0,5.0,6.0,1.0,2.0,1.0,10.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,5445.0,19284.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,1089.0
73,51682921,Rawalpindi,3.0,5.0,6.0,1.0,2.0,2.0,5.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,19287.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses,544.4
76,52107528,Rawalpindi,1.0,4.0,4.0,1.0,1.0,0.0,1.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,1361.0,13960.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,340.25
77,52107625,Rawalpindi,1.0,3.0,4.0,0.0,2.0,0.0,10.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,18365.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses,1815.0
78,52107538,Rawalpindi,2.0,3.0,4.0,1.0,2.0,2.0,1.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,12491.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,453.6666666666667
82,52091874,Rawalpindi,3.0,5.0,6.0,0.0,2.0,0.0,3.29, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,2722.0,12087.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses,544.4
83,51875976,Rawalpindi,2.0,5.0,6.0,0.0,2.0,0.0,2.6, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,2178.0,11938.0,Snober City,Punjab,Adiala Road,Houses,435.6
84,51116208,Rawalpindi,1.0,4.0,4.0,1.0,2.0,1.0,1.25, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,9184.0,Snober City,Punjab,Adiala Road,Houses,340.25
85,51554173,Rawalpindi,3.0,2.0,2.0,2.0,1.0,1.0,1.05, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,7715.0,Snober City,Punjab,Adiala Road,Houses,680.5
86,51875275,Rawalpindi,1.0,3.0,3.0,1.0,1.0,1.0,1.2, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1089.0,11019.0,Snober City,Punjab,Adiala Road,Houses,363.0
87,52009345,Rawalpindi,2.0,3.0,3.0,0.0,0.0,0.0,1.4, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,10287.0,Snober City,Punjab,Adiala Road,Houses,453.6666666666667
89,51921711,Rawalpindi,2.0,5.0,6.0,1.0,2.0,0.0,3.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,2722.0,14511.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses,544.4
90,49860339,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,5.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,20206.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses,544.4
91,51016022,Rawalpindi,1.0,2.0,3.0,0.0,1.0,2.0,7.35, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,13499.0,Bahria Town Phase 6,Punjab,Bahria Town Rawalpindi,Houses,2722.5
96,51979652,Rawalpindi,3.0,8.0,9.0,2.0,3.0,1.0,6.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,11938.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,680.625
97,51979780,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,5.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4356.0,13200.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,871.2
