City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Age Possession,area,colony,province,property Type,price
2.0,1.0,3.0,3.0,0.0,1.0,0.0,3.0,1361.0,40.0,0.0,1.0,1.5
2.0,3.0,6.0,6.0,1.0,2.0,1.0,1.0,3812.0,22.0,0.0,1.0,4.75
2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,2722.0,16.0,0.0,1.0,2.25
2.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,1171.0,32.0,0.0,0.0,1.15
2.0,1.0,4.0,5.0,0.0,0.0,0.0,4.0,1361.0,77.0,0.0,1.0,1.75
2.0,1.0,4.0,4.0,0.0,2.0,0.0,5.0,1361.0,163.0,0.0,1.0,1.55
2.0,3.0,5.0,7.0,1.0,2.0,2.0,3.0,9256.0,22.0,0.0,1.0,16.25
2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1361.0,3.0,0.0,1.0,1.2
2.0,4.0,7.0,6.0,1.0,2.0,1.0,3.0,2178.0,3.0,0.0,1.0,2.5
2.0,3.0,7.0,8.0,2.0,1.0,2.0,1.0,1089.0,155.0,0.0,1.0,0.76
2.0,4.0,7.0,8.0,1.0,3.0,1.0,5.0,5445.0,35.0,0.0,1.0,14.4
2.0,1.0,2.0,3.0,0.0,1.0,0.0,5.0,1361.0,163.0,0.0,1.0,1.03
2.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,2722.0,16.0,0.0,1.0,3.15
2.0,3.0,5.0,7.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,4.25
2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1361.0,40.0,0.0,1.0,2.25
2.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1634.0,3.0,0.0,1.0,2.1
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,2178.0,3.0,0.0,1.0,2.5
2.0,1.0,4.0,6.0,1.0,2.0,1.0,3.0,1361.0,3.0,0.0,1.0,1.7
2.0,2.0,6.0,6.0,1.0,2.0,1.0,3.0,2178.0,3.0,0.0,1.0,3.85
2.0,3.0,8.0,8.0,1.0,3.0,1.0,4.0,5445.0,33.0,0.0,1.0,9.0
